Item_Code,Department,Barcode,Image Link,Title,VAT_Rate,CasePrice,Num_Pieces_In_Unit,Units_In_Case,Cases_In_Stock
215831,Toys & Leisure,35031470028764,https://www.joneswholesale.co.uk/ihttphandlers/product/BarcodeImage.ashx?format=13&code=35031470028764&showtext=1&thickness=1&height=20,Baseline Tennis Balls 48s (B246),20,23.45,48,1,2
25169,Stationery & Office,30079252337999,https://www.joneswholesale.co.uk/jwl/i/pmi/hpp.jpg?_t=23112112441,Oxfrd Exctve Hb Rbbr Tip Pencil Tub 72s (X33799),20,8.49,1,1,0
25168,Stationery & Office,30079252337982,https://refreshcartridges.co.uk/productimages/a_133811.jpg,Oxford Executive Hb Pencil Tub 72s (x33798),20,7.99,1,1,3
453192,Housewares,25013168518910,https://www.joneswholesale.co.uk/jwl/i/pmi/zodiac-orion-3-tier-cake-stand-c88215_c88215.jpg?_t=23111612158&w=400&h=275,Zodiac Orion 3 Tier Cake Stand (C88215),20,19.06,1,2,5
490579,Health & Beauty,25010605402214,,Rennie Peppermint 36s (USP8798),20,22.69,12,1,0
493332,Health & Beauty,25010605402139,https://www.joneswholesale.co.uk/ihttphandlers/product/BarcodeImage.ashx?format=13&code=25010605402139&showtext=1&thickness=1&height=20,Clarytin Allergy Tablets 7s (USP8166),20,20.49,12,1,1
490872,Health & Beauty,25010605401354,https://www.joneswholesale.co.uk/jwl/i/pmi/25010605401354.jpg?_t=2312512131&w=400&h=275,Berocca Effervesent 15s (8353930),20,20.19,4,1,3
478643,Health & Beauty,16920354812535,http://www.mxwholesale.co.uk/cdn/shop/products/colgate-triple-action-100ml_1200x1200.jpg?v=1592998026,Colgate Triple Action 100ml (COL1A),20,10.39,12,1,2
480785,Garden & Outdoor Living,15053844312138,https://www.joneswholesale.co.uk/jwl/i/pmi/dc213464.jpg?_t=2312624936&w=400&h=275,Church Arch Mirror 60x3x140cm (DC213464),20,84.09,1,1,1
484391,DIY & Pet,15050642056646,,Recycled Fleece Comforter-grey (8002134),20,36.42,1,3,2
484390,DIY & Pet,15050642042946,,Counting Sheep Fleece Comforter (8002089),20,20.49,1,3,3
73581,Stationery & Office,15016873000728,https://d1yfjw4ro643jd.cloudfront.net/3_2023/dbe371d8-1de8-4b19-8811-f772ca03ed6f.jpg,Tiger Project Files Assorted A4 (300072),20,18.6,25,3,0
